iter	RMSE
0	17.21917658
1	16.94088493
2	16.7022037
3	16.49800465
4	16.32194437
5	16.1736939
6	16.04871954
7	15.94090845
8	15.84719094
9	15.76670137
10	15.69951526
11	15.63524741
12	15.58383851
13	15.53367804
14	15.49119912
15	15.45472473
16	15.42183468
17	15.39127267
18	15.36113776
19	15.33786685
20	15.31483644
21	15.29176769
22	15.27447274
23	15.25939628
24	15.24602751
25	15.23009535
26	15.217224
27	15.20549012
28	15.19279208
29	15.18104621
30	15.17062496
31	15.1601193
32	15.14976357
33	15.14071361
34	15.13240714
35	15.12443989
36	15.1152476
37	15.10848182
38	15.0991601
39	15.0858262
40	15.08155621
41	15.0774993
42	15.07247431
43	15.06630593
44	15.05845895
45	15.05298626
46	15.04518265
47	15.03900986
48	15.03286755
49	15.02796762
50	15.02352154
51	15.01955675
52	15.01449942
53	15.01125656
54	15.00466704
55	14.99955523
56	14.99663482
57	14.99305055
58	14.99048371
59	14.98761126
60	14.98457866
61	14.97989914
62	14.97610074
63	14.97197273
64	14.96864358
65	14.96386771
66	14.96174757
67	14.9592615
68	14.95606465
69	14.95189162
70	14.95022517
71	14.94848451
72	14.94578545
73	14.94259264
74	14.93744248
75	14.93466264
76	14.93325188
77	14.93082086
78	14.92805243
79	14.92660111
80	14.92393927
81	14.91821267
82	14.91371998
83	14.91105119
84	14.909
85	14.90680212
86	14.90502722
87	14.90351453
88	14.90082196
89	14.89712013
90	14.89443986
91	14.89216496
92	14.89041029
93	14.88827553
94	14.88620779
95	14.8844723
96	14.88310061
97	14.8809861
98	14.87951624
99	14.87796509
100	14.8761302
101	14.87510188
102	14.87383175
103	14.87040671
104	14.86927005
105	14.86775711
106	14.86529622
107	14.86429907
108	14.86194573
109	14.86016164
110	14.85786228
111	14.85693566
112	14.85421521
113	14.85272675
114	14.85035519
115	14.84867947
116	14.84740559
117	14.84550726
118	14.84316287
119	14.8409499
120	14.83747869
121	14.83527365
122	14.83421066
123	14.83289574
124	14.83092285
125	14.82962273
126	14.82759651
127	14.82660371
128	14.82478032
129	14.8220681
130	14.82081719
131	14.81885309
132	14.81719229
133	14.81601699
134	14.8138077
135	14.8127318
136	14.81160242
137	14.80983959
138	14.80885984
139	14.806828
140	14.80535982
141	14.80427439
142	14.80279542
143	14.80202925
144	14.80104166
145	14.79949896
146	14.79820038
147	14.79597551
148	14.79475758
149	14.79273286
150	14.79205942
151	14.79006962
152	14.78910457
153	14.78782612
154	14.78646129
155	14.78435349
156	14.78307374
157	14.78200229
158	14.78017558
159	14.77905592
160	14.77739168
161	14.77595142
162	14.77413739
163	14.77318486
164	14.7717217
165	14.77061124
166	14.76921669
167	14.76812975
168	14.7667724
169	14.76428553
