iter	Passed	Remaining
0	5303	5298206
1	8944	4463156
2	12160	4041464
3	14783	3681191
4	17581	3498813
5	20311	3364887
6	22654	3213687
7	25296	3136714
8	28199	3105105
9	30833	3052471
10	33496	3011647
11	36345	2992427
12	38962	2958121
13	41862	2948293
14	44242	2905262
15	46757	2875569
16	49269	2848911
17	51626	2816515
18	54167	2796773
19	56715	2779052
20	59252	2762305
21	61537	2735614
22	63898	2714280
23	66119	2688841
24	68583	2674750
25	70584	2644197
26	72891	2626778
27	75550	2622698
28	77962	2610393
29	80098	2589845
30	82573	2581096
31	84837	2566344
32	87639	2568105
33	89602	2545755
34	91731	2529168
35	94405	2527963
36	97440	2536074
37	99687	2523670
38	102669	2529869
39	104937	2518498
40	107353	2511017
41	109832	2505231
42	112011	2492907
43	114237	2482074
44	116423	2470769
45	118917	2466255
46	121458	2462774
47	123959	2458531
48	126603	2457143
49	129302	2456738
50	131914	2454636
51	134363	2449542
52	136808	2444483
53	139203	2438630
54	141212	2426281
55	143532	2419554
56	145843	2412812
57	148500	2411857
58	151065	2409367
59	153504	2404901
60	156324	2406367
61	159151	2407811
62	161626	2403871
63	163943	2397669
64	166674	2397554
65	169337	2396378
66	172241	2398531
67	174495	2391612
68	177003	2388264
69	179086	2379295
70	181339	2372734
71	183657	2367143
72	186317	2365976
73	188479	2358534
74	191414	2360773
75	194212	2361219
76	196655	2357307
77	199509	2358302
78	202388	2359487
79	204878	2356101
80	207503	2354271
81	210332	2354701
82	213421	2357921
83	216290	2358592
84	218133	2348147
85	221207	2350969
86	223879	2349450
87	226085	2343070
88	228195	2335796
89	230982	2335487
90	232494	2322386
91	234044	2309916
92	236576	2307255
93	238822	2301843
94	241389	2299548
95	242916	2287463
96	244668	2277689
97	247485	2277876
98	249953	2274828
99	252304	2270742
100	254368	2264130
101	256942	2262103
102	259601	2260803
103	262421	2260865
104	264662	2255931
105	266790	2250102
106	269430	2248613
107	271699	2244040
108	274129	2240816
109	276887	2240270
110	279510	2238598
111	282267	2237974
112	284817	2235691
113	287422	2233826
114	290130	2232742
115	292661	2230284
116	295012	2226463
117	297376	2222763
118	299779	2219378
119	302378	2217443
120	305149	2216747
121	308019	2216731
122	310228	2211956
123	312765	2209534
124	315425	2207981
125	318149	2206844
126	320822	2205341
127	323522	2203996
128	326462	2204257
129	329313	2203867
130	331782	2200909
131	334570	2200054
132	337414	2199539
133	340220	2198741
134	343267	2199454
135	346054	2198463
136	349651	2202549
137	352315	2200693
138	354318	2194733
139	356678	2191027
140	359806	2192012
141	362259	2188862
142	364560	2184812
143	367034	2181814
144	369058	2176173
145	371919	2175476
146	374516	2173214
147	377017	2170399
148	379289	2166276
149	381851	2163824
150	384726	2163131
151	387505	2161874
152	389656	2157116
153	392160	2154338
